Entry date and Time,Car parking slot,Availability
,,
2024-09-15 17:00:32,Free,2
2024-09-15 17:00:35,Free,2
2024-09-15 17:00:37,Free,2
2024-09-15 17:00:40,Free,2
2024-09-15 17:00:43,Free,2
2024-09-15 17:00:45,Free,2
2024-09-15 17:00:48,Free,2
2024-09-15 17:00:51,Free,2
2024-09-15 17:00:53,Free,2
2024-09-15 17:00:56,Free,2
2024-09-15 17:00:58,Free,2
2024-09-15 17:01:01,Free,2
2024-09-15 17:01:03,Free,2
2024-09-15 17:01:06,Free,2
2024-09-15 17:01:08,Free,2
2024-09-15 17:01:10,ir2,1
2024-09-15 17:01:13,ir1,1
2024-09-15 17:01:15,ir1,1
2024-09-15 17:01:17,ir1,1
2024-09-15 17:01:20,ir1,1
2024-09-15 17:01:22,ir1,1
2024-09-15 17:01:25,Both Full,0
2024-09-15 17:01:27,Both Full,0
2024-09-15 17:01:30,Both Full,0
2024-09-15 17:01:33,ir2,1
2024-09-15 17:01:35,ir2,1
2024-09-15 17:01:38,ir2,1
2024-09-15 17:01:40,ir2,1
2024-09-15 17:01:43,ir2,1
2024-09-15 17:01:45,ir2,1
2024-09-15 17:01:48,ir2,1
2024-09-15 17:01:50,ir2,1
2024-09-15 17:01:53,Free,2
2024-09-15 17:01:55,Free,2
2024-09-15 17:01:58,Free,2
2024-09-15 17:02:01,Free,2
2024-09-15 17:02:04,Free,2
2024-09-15 17:02:08,Both Full,0
2024-09-15 17:02:11,Both Full,0
2024-09-15 17:02:14,Both Full,0
2024-09-15 17:02:17,Both Full,0
2024-09-15 17:02:20,Both Full,0
2024-09-15 17:02:23,Both Full,0
2024-09-15 17:02:25,Both Full,0
2024-09-15 17:02:28,Free,2
2024-09-15 17:02:30,Free,2
2024-09-15 17:02:33,Free,2
2024-09-15 17:02:35,Free,2
2024-09-15 17:02:38,Free,2
2024-09-15 17:02:40,Free,2
2024-09-15 17:02:42,Free,2
2024-09-15 17:02:45,Free,2
2024-09-15 17:02:48,Free,2
2024-09-15 17:02:50,Free,2
2024-09-15 17:02:53,Free,2
2024-09-15 17:02:55,Free,2
2024-09-15 17:02:58,Free,2
2024-09-15 17:03:00,Free,2
2024-09-15 17:03:03,Free,2
2024-09-15 17:03:08,Free,2
2024-09-15 17:03:11,Free,2
2024-09-15 17:03:13,Free,2
2024-09-15 17:03:16,Free,2
2024-09-15 17:03:18,Free,2
2024-09-15 17:03:21,Free,2
2024-09-15 17:03:24,Free,2
2024-09-15 17:03:26,Free,2
